JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),      N2,      DO,     EPI,     %DO,  TDG(%),NH4AR   (kg/d),NH4AG   (kg/d),NH4AP   (kg/d),NH4ER   (kg/d),NH4EG   (kg/d),NH4EP   (kg/d),NH4POM  (kg/d),NH4DOM  (kg/d),NH4OM   (kg/d),NH4SED  (kg/d),NH4SOD  (kg/d),APLIM,APLIM,APLIM,ANLIM,ANLIM,ANLIM,ALLIM,ALLIM,ALLIM,
     1.000,    31.486,   391.521,     4.999,     0.025,     0.000,     0.000,     0.250,   122.521,  1274.100,     0.000,     5.000,  -222.317,     0.000,   201.218,   329.813,    39.201,    54.521,    20.000,    11.900,     0.000,    97.644,   100.490, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     1.500,    42.361,   391.624,     4.965,     0.046,     0.000,   137.848,     0.250,   122.624,  1274.100,     1.000,     4.965,   -90.053,   130.045,   217.207,   329.649,    43.629,    64.026,    19.999,    11.901,     0.000,    97.564,   100.402, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     2.000,    44.678,   391.577,     4.938,     0.020,     0.000,     0.000,     0.250,   122.577,  1274.100,     0.000,     4.938,  -203.609,     0.000,   219.419,   329.521,    39.596,    53.911,    19.998,    11.901,     0.000,    97.501,   100.351, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     2.500,    44.283,   391.562,     4.906,     0.055,     0.000,   292.942,     0.250,   122.562,  1274.100,     1.000,     4.906,    33.666,   276.361,   204.024,   329.370,    52.077,    65.272,    19.997,    11.903,     0.000,    97.433,   100.268, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     3.000,    43.719,   391.401,     4.880,     0.040,     0.000,     0.000,     0.250,   122.401,  1274.100,     0.000,     4.880,  -201.316,     0.000,   233.013,   329.245,    42.190,    62.894,    19.996,    11.903,     0.000,    97.371,   100.209, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     3.500,    43.249,   391.314,     4.813,     0.064,     0.000,   140.217,     0.250,   122.314,  1274.100,     1.000,     4.693,   -63.502,   132.281,   224.580,   328.928,    40.550,    50.885,    19.999,    11.912,     0.000,    97.272,   100.112, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     4.000,    44.866,   391.142,     4.777,     0.040,     0.000,     0.000,     0.250,   122.142,  1274.100,     0.000,     4.697,  -149.112,     0.000,   247.775,   328.757,    32.333,    35.797,    20.003,    11.917,     0.000,    97.222,   100.101, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     4.500,    41.017,   391.002,     4.771,     0.066,     0.000,   146.565,     0.250,   122.002,  1274.100,     1.000,     4.677,   -11.261,   138.269,   235.855,   328.727,    30.186,    26.471,    19.999,    11.914,     0.000,    97.181,   100.081, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     5.000,    43.032,   390.839,     4.761,     0.020,     0.000,     0.000,     0.250,   121.839,  1264.640,     0.000,     4.760,  -150.241,     0.000,   247.803,   328.679,    33.182,    36.183,    20.000,    11.915,     0.000,    97.169,   100.047, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     5.500,    39.677,   390.748,     4.746,     0.079,     0.000,    53.149,     0.250,   121.748,  1264.640,     1.000,     4.746,   -84.643,    50.140,   251.202,   328.609,    27.151,    30.224,    19.994,    11.910,     0.000,    97.087,   100.036, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
