$GATE WITHDRAWAL AT SEG317                                   ELEV OF WITHDRAWAL CENTERLINE:347.     

JDAY,T(C)
     1.000,    5.00
     1.050,    5.00
     1.100,    4.99
     1.150,    4.99
     1.200,    4.99
     1.250,    4.98
     1.300,    4.98
     1.350,    4.97
     1.400,    4.97
     1.450,    4.97
     1.500,    4.97
     1.550,    4.96
     1.600,    4.96
     1.650,    4.96
     1.701,    4.96
     1.750,    4.96
     1.800,    4.95
     1.850,    4.95
     1.900,    4.95
     1.950,    4.94
     2.000,    4.94
     2.050,    4.93
     2.100,    4.93
     2.150,    4.93
     2.200,    4.92
     2.250,    4.92
     2.300,    4.92
     2.350,    4.91
     2.401,    4.91
     2.450,    4.91
     2.500,    4.91
     2.550,    4.91
     2.600,    4.91
     2.650,    4.91
     2.700,    4.90
     2.750,    4.90
     2.800,    4.89
     2.850,    4.89
     2.900,    4.89
     2.950,    4.88
     3.000,    4.88
     3.050,    4.88
     3.100,    4.87
     3.150,    4.87
     3.200,    4.87
     3.250,    4.86
     3.300,    4.83
     3.350,    4.79
     3.400,    4.76
     3.450,    4.73
     3.500,    4.71
     3.550,    4.72
     3.600,    4.74
     3.650,    4.75
     3.700,    4.76
     3.750,    4.75
     3.800,    4.73
     3.850,    4.71
     3.900,    4.70
     3.950,    4.69
     4.000,    4.71
     4.050,    4.73
     4.100,    4.74
     4.150,    4.75
     4.200,    4.75
     4.250,    4.73
     4.300,    4.71
     4.350,    4.69
     4.400,    4.67
     4.450,    4.67
     4.500,    4.70
     4.550,    4.72
     4.600,    4.73
     4.650,    4.74
     4.700,    4.75
     4.750,    4.76
     4.800,    4.76
     4.850,    4.76
     4.900,    4.76
     4.950,    4.76
     5.000,    4.76
     5.050,  -99.00
     5.100,  -99.00
     5.150,    4.76
     5.200,    4.75
     5.250,    4.75
     5.300,    4.75
     5.350,    4.75
     5.400,    4.75
     5.450,    4.75
     5.500,    4.75
     5.550,    4.74
     5.600,    4.74
     5.650,    4.74
     5.700,    4.74
     5.750,    4.74
     5.800,    4.73
     5.850,    4.73
     5.900,    4.73
     5.950,    4.73
     6.000,    4.72
     6.050,  -99.00
     6.100,  -99.00
     6.150,    4.72
     6.200,    4.71
     6.250,    4.71
     6.300,    4.71
     6.350,    4.71
     6.400,    4.70
     6.450,    4.70
     6.500,    4.70
     6.550,    4.70
     6.600,    4.70
     6.650,    4.70
     6.700,    4.70
     6.750,    4.69
     6.800,    4.69
     6.850,    4.69
     6.900,    4.69
     6.950,    4.69
     7.000,    4.68
     7.050,    4.68
     7.100,    4.68
     7.150,    4.68
     7.200,    4.68
     7.250,    4.68
     7.300,    4.68
     7.350,    4.67
     7.400,    4.67
     7.450,    4.67
     7.500,    4.67
     7.550,    4.67
     7.600,    4.67
     7.650,    4.67
     7.700,    4.67
     7.750,    4.67
     7.800,    4.67
     7.850,    4.67
     7.900,    4.66
     7.950,    4.66
     8.000,    4.66
     8.050,    4.66
     8.100,    4.66
     8.150,  -99.00
     8.200,    4.65
     8.250,    4.65
     8.300,    4.65
     8.350,    4.65
     8.400,    4.64
     8.450,    4.64
     8.500,    4.64
     8.550,    4.64
     8.600,    4.64
     8.650,    4.64
     8.700,    4.64
     8.750,    4.64
     8.800,    4.64
     8.850,    4.63
     8.900,    4.63
     8.950,    4.63
     9.000,    4.63
     9.050,    4.62
     9.100,    4.62
     9.150,    4.62
     9.200,    4.62
     9.250,    4.61
     9.300,    4.61
     9.350,    4.61
     9.400,    4.60
     9.450,    4.60
     9.500,    4.61
     9.550,    4.61
     9.600,    4.61
     9.650,    4.61
     9.700,    4.61
     9.750,    4.60
     9.800,    4.60
     9.850,    4.60
     9.900,    4.59
     9.950,    4.59
    10.000,    4.59
    10.050,    4.59
    10.100,    4.58
    10.150,    4.58
    10.200,    4.58
    10.250,    4.58
    10.300,    4.57
    10.350,    4.57
    10.400,    4.57
    10.450,    4.57
    10.500,    4.57
    10.550,    4.57
    10.600,    4.57
    10.650,    4.57
    10.700,    4.56
    10.750,    4.56
    10.800,    4.56
    10.850,    4.55
    10.900,    4.55
    10.950,    4.55
    11.000,    4.54
    11.050,    4.54
    11.100,    4.54
    11.150,    4.54
    11.200,    4.53
    11.250,    4.53
    11.300,    4.53
    11.350,    4.52
    11.400,    4.51
    11.450,    4.51
    11.500,    4.51
    11.550,    4.51
    11.600,    4.51
    11.650,    4.51
    11.700,    4.51
    11.750,    4.51
    11.800,    4.51
    11.850,    4.51
    11.900,    4.50
    11.950,    4.50
    12.000,    4.50
    12.050,    4.50
    12.100,    4.49
    12.150,    4.49
    12.200,    4.49
    12.250,    4.48
    12.300,    4.47
    12.350,    4.45
    12.400,    4.41
    12.450,    4.39
    12.500,    4.39
    12.550,    4.40
    12.600,    4.41
    12.650,    4.42
    12.700,    4.42
    12.750,    4.43
    12.800,    4.43
    12.850,    4.43
    12.900,    4.43
    12.950,    4.43
    13.000,    4.43
    13.050,    4.43
    13.100,    4.43
