$STR WITHDRAWAL AT SEG64                                     ELEV OF WITHDRAWAL CENTERLINE:270.     

JDAY,     DOC,     TOC,     TKN,      TN,      TP,     APR,    CHLA,     %DO,      pH,     CO2,    HCO3,     CO3,
  4384.002,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   70.7407,    0.0000,    0.0000,    0.0000,    0.0000,
  4384.100,    2.7083,    3.5670,    0.8533,    0.9809,    0.0637,   -0.0078,    0.9868,   70.3449,    6.8700,    1.1654,    3.9714,    0.0015,
  4384.202,    2.7004,    3.5565,    0.8527,    0.9809,    0.0637,   -0.0077,    0.9727,   69.9051,    6.8600,    1.1892,    3.9598,    0.0015,
  4384.301,    2.6927,    3.5459,    0.8520,    0.9808,    0.0637,   -0.0076,    0.9591,   69.4881,    6.8600,    1.1911,    3.9660,    0.0015,
  4384.400,    2.6851,    3.5360,    0.8514,    0.9808,    0.0637,   -0.0072,    0.9468,   69.0650,    6.8600,    1.1939,    3.9751,    0.0015,
  4384.502,    2.6774,    3.5260,    0.8508,    0.9809,    0.0637,   -0.0072,    0.9335,   68.6211,    6.8500,    1.2179,    3.9626,    0.0015,
  4384.601,    2.6700,    3.5163,    0.8501,    0.9809,    0.0637,   -0.0067,    0.9207,   68.1880,    6.8500,    1.2202,    3.9701,    0.0015,
  4384.701,    2.6626,    3.5069,    0.8495,    0.9809,    0.0637,   -0.0060,    0.9081,   67.7530,    6.8500,    1.2234,    3.9804,    0.0015,
  4384.800,    2.6551,    3.4972,    0.8488,    0.9810,    0.0637,   -0.0071,    0.8952,   67.3148,    6.8400,    1.2477,    3.9673,    0.0014,
  4384.902,    2.6477,    3.4868,    0.8480,    0.9809,    0.0637,   -0.0070,    0.8854,   66.9544,    6.8400,    1.2498,    3.9738,    0.0014,
  4385.000,    2.6403,    3.4767,    0.8471,    0.9808,    0.0637,   -0.0069,    0.8733,   66.5502,    6.8300,    1.2744,    3.9595,    0.0014,
  4385.102,    2.6332,    3.4667,    0.8463,    0.9807,    0.0637,   -0.0068,    0.8620,   66.1588,    6.8300,    1.2760,    3.9644,    0.0014,
  4385.200,    2.6260,    3.4568,    0.8454,    0.9806,    0.0637,   -0.0067,    0.8507,   65.7656,    6.8300,    1.2790,    3.9735,    0.0014,
  4385.302,    2.6187,    3.4467,    0.8446,    0.9806,    0.0637,   -0.0066,    0.8392,   65.3686,    6.8300,    1.2810,    3.9793,    0.0014,
  4385.400,    2.6116,    3.4372,    0.8437,    0.9805,    0.0637,   -0.0062,    0.8291,   64.9684,    6.8200,    1.3061,    3.9650,    0.0014,
  4385.501,    2.6044,    3.4278,    0.8429,    0.9805,    0.0637,   -0.0064,    0.8185,   64.5473,    6.8200,    1.3091,    3.9742,    0.0014,
  4385.602,    2.5974,    3.4185,    0.8421,    0.9806,    0.0637,   -0.0064,    0.8083,   64.1324,    6.8200,    1.3117,    3.9821,    0.0014,
  4385.701,    2.5904,    3.4093,    0.8412,    0.9806,    0.0637,   -0.0063,    0.7984,   63.7272,    6.8100,    1.3364,    3.9646,    0.0013,
  4385.803,    2.5833,    3.3997,    0.8403,    0.9805,    0.0637,   -0.0063,    0.7899,   63.3363,    6.8100,    1.3392,    3.9730,    0.0013,
  4385.903,    2.5763,    3.3903,    0.8394,    0.9805,    0.0637,   -0.0062,    0.7824,   62.9538,    6.8100,    1.3409,    3.9784,    0.0013,
  4386.000,    2.5695,    3.3798,    0.8381,    0.9801,    0.0637,   -0.0062,    0.7865,   62.7426,    6.8085,    1.3456,    3.9792,    0.0013,
  4386.102,    2.5625,    3.3703,    0.8372,    0.9801,    0.0637,   -0.0061,    0.7703,   62.2956,    6.8000,    1.3679,    3.9660,    0.0013,
  4386.200,    2.5556,    3.3605,    0.8362,    0.9800,    0.0637,   -0.0060,    0.7601,   61.9529,    6.8000,    1.3697,    3.9713,    0.0013,
  4386.300,    2.5487,    3.3507,    0.8351,    0.9798,    0.0637,   -0.0048,    0.7496,   61.5993,    6.8000,    1.3725,    3.9791,    0.0013,
  4386.402,    2.5419,    3.3414,    0.8341,    0.9798,    0.0637,   -0.0058,    0.7400,   61.2224,    6.7900,    1.3980,    3.9610,    0.0013,
