Derived constituent file for segment 84

JDAY,     DOC,     TOC,     TKN,      TN,      TP,     APR,    CHLA,     %DO,      pH,     CO2,    HCO3,     CO3,
  4384.002,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   70.7407,    0.0000,    0.0000,    0.0000,    0.0000,
  4384.100,    2.7083,    3.5669,    0.8533,    0.9809,    0.0637,   -0.0078,    0.9867,   70.3426,    6.8700,    1.1656,    3.9717,    0.0015,
  4384.202,    2.7005,    3.5557,    0.8525,    0.9807,    0.0637,   -0.0077,    0.9725,   69.9225,    6.8600,    1.1894,    3.9599,    0.0015,
  4384.301,    2.6928,    3.5449,    0.8518,    0.9806,    0.0637,   -0.0076,    0.9587,   69.5143,    6.8600,    1.1913,    3.9658,    0.0015,
  4384.400,    2.6853,    3.5317,    0.8496,    0.9790,    0.0636,    0.3065,    1.0297,   69.8169,    6.8600,    1.1906,    3.9653,    0.0015,
  4384.502,    2.6776,    3.5172,    0.8462,    0.9762,    0.0635,    0.3227,    1.1749,   71.0035,    6.8655,    1.1700,    3.9630,    0.0015,
  4384.601,    2.6702,    3.5077,    0.8437,    0.9743,    0.0634,    0.3787,    1.3032,   72.3739,    6.8811,    1.1285,    3.9751,    0.0016,
  4384.701,    2.6630,    3.5009,    0.8436,    0.9749,    0.0635,    0.2509,    1.3210,   72.4534,    6.8966,    1.0895,    3.9730,    0.0017,
  4384.800,    2.6556,    3.4849,    0.8417,    0.9737,    0.0635,   -0.0105,    1.3275,   72.6209,    6.8962,    1.0921,    3.9710,    0.0016,
  4384.902,    2.6482,    3.4674,    0.8401,    0.9728,    0.0634,   -0.0100,    1.2628,   71.9443,    6.8901,    1.1082,    3.9711,    0.0016,
  4385.000,    2.6408,    3.4513,    0.8388,    0.9722,    0.0634,   -0.0095,    1.2038,   71.2345,    6.8800,    1.1329,    3.9625,    0.0016,
  4385.102,    2.6335,    3.4358,    0.8373,    0.9714,    0.0634,   -0.0094,    1.1803,   70.9432,    6.8800,    1.1335,    3.9626,    0.0016,
  4385.200,    2.6262,    3.4230,    0.8363,    0.9712,    0.0634,   -0.0090,    1.1398,   70.3433,    6.8800,    1.1373,    3.9733,    0.0016,
  4385.302,    2.6188,    3.4123,    0.8359,    0.9717,    0.0634,   -0.0085,    1.0741,   69.4461,    6.8700,    1.1633,    3.9682,    0.0015,
  4385.400,    2.6118,    3.4060,    0.8350,    0.9715,    0.0634,    0.3396,    1.1211,   69.2352,    6.8653,    1.1766,    3.9706,    0.0015,
  4385.501,    2.6046,    3.3952,    0.8319,    0.9692,    0.0634,    0.3556,    1.2915,   70.5675,    6.8755,    1.1449,    3.9740,    0.0016,
  4385.602,    2.5976,    3.3918,    0.8306,    0.9686,    0.0633,    0.4380,    1.4443,   72.0676,    6.8865,    1.1108,    3.9637,    0.0016,
  4385.701,    2.5907,    3.3908,    0.8311,    0.9699,    0.0634,    0.3366,    1.4539,   71.7197,    6.8915,    1.1028,    3.9757,    0.0016,
  4385.803,    2.5839,    3.3755,    0.8283,    0.9680,    0.0633,   -0.0121,    1.5245,   72.2921,    6.9001,    1.0803,    3.9724,    0.0017,
  4385.903,    2.5769,    3.3599,    0.8270,    0.9674,    0.0633,   -0.0116,    1.4572,   71.3286,    6.8900,    1.1037,    3.9629,    0.0016,
  4386.000,    2.5702,    3.3442,    0.8252,    0.9665,    0.0633,   -0.0112,    1.4182,   70.9536,    6.8900,    1.1084,    3.9759,    0.0016,
  4386.102,    2.5631,    3.3304,    0.8240,    0.9662,    0.0633,   -0.0108,    1.3593,   70.2170,    6.8800,    1.1310,    3.9626,    0.0016,
  4386.200,    2.5563,    3.3157,    0.8225,    0.9655,    0.0633,   -0.0104,    1.3132,   69.8261,    6.8800,    1.1351,    3.9740,    0.0016,
  4386.300,    2.5495,    3.3082,    0.8225,    0.9665,    0.0633,    0.0138,    1.2393,   68.7252,    6.8700,    1.1629,    3.9759,    0.0015,
  4386.402,    2.5430,    3.2896,    0.8176,    0.9624,    0.0632,    0.4398,    1.4237,   70.5046,    6.8800,    1.1324,    3.9645,    0.0016,
  4386.501,    2.5365,    3.2815,    0.8140,    0.9596,    0.0631,    0.4933,    1.6488,   71.9355,    6.8955,    1.0898,    3.9690,    0.0016,
  4386.602,    2.5302,    3.2727,    0.8095,    0.9558,    0.0630,    0.6004,    1.9394,   74.4111,    6.9110,    1.0472,    3.9661,    0.0017,
  4386.701,    2.5237,    3.2691,    0.8070,    0.9541,    0.0629,    0.4185,    2.2371,   75.9575,    6.9417,    0.9747,    3.9610,    0.0018,
  4386.803,    2.5174,    3.2589,    0.8048,    0.9527,    0.0629,   -0.0184,    2.3223,   76.2874,    6.9508,    0.9557,    3.9647,    0.0019,
  4386.901,    2.5111,    3.2438,    0.8031,    0.9518,    0.0629,   -0.0180,    2.2639,   75.9199,    6.9500,    0.9578,    3.9668,    0.0019,
  4387.000,    2.5046,    3.2299,    0.8021,    0.9517,    0.0629,   -0.0172,    2.1696,   75.0800,    6.9500,    0.9602,    3.9726,    0.0019,
  4387.101,    2.4982,    3.2198,    0.8024,    0.9530,    0.0629,   -0.0159,    2.0107,   73.4038,    6.9200,    1.0276,    3.9584,    0.0017,
  4387.202,    2.4918,    3.2179,    0.8049,    0.9567,    0.0631,   -0.0141,    1.7815,   70.7194,    6.8900,    1.1028,    3.9594,    0.0016,
  4387.301,    2.4857,    3.2106,    0.8047,    0.9574,    0.0631,   -0.0135,    1.6982,   69.8297,    6.8800,    1.1296,    3.9611,    0.0016,
  4387.402,    2.4796,    3.2012,    0.8012,    0.9548,    0.0630,    0.5883,    1.8791,   70.9310,    6.8953,    1.0926,    3.9718,    0.0016,
  4387.500,    2.4738,    3.1963,    0.7968,    0.9511,    0.0629,    0.6089,    2.2152,   73.2598,    6.9111,    1.0482,    3.9656,    0.0017,
  4387.601,    2.4679,    3.1953,    0.7937,    0.9490,    0.0628,    0.7683,    2.4544,   75.5534,    6.9365,    0.9854,    3.9659,    0.0018,
  4387.702,    2.4616,    3.1941,    0.7917,    0.9480,    0.0627,    0.5866,    2.6888,   76.8887,    6.9613,    0.9320,    3.9693,    0.0019,
  4387.801,    2.4560,    3.1833,    0.7914,    0.9485,    0.0628,   -0.0208,    2.6169,   75.6950,    6.9567,    0.9448,    3.9690,    0.0019,
  4387.901,    2.4499,    3.1682,    0.7901,    0.9482,    0.0628,   -0.0201,    2.5263,   74.9784,    6.9500,    0.9594,    3.9710,    0.0019,
  4388.000,    2.4437,    3.1554,    0.7894,    0.9485,    0.0628,   -0.0192,    2.4141,   74.1129,    6.9400,    0.9822,    3.9692,    0.0018,
  4388.100,    2.4376,    3.1437,    0.7887,    0.9488,    0.0628,   -0.0185,    2.3283,   73.4313,    6.9300,    1.0033,    3.9608,    0.0018,
  4388.200,    2.4315,    3.1295,    0.7870,    0.9482,    0.0628,   -0.0181,    2.2788,   73.1475,    6.9300,    1.0056,    3.9675,    0.0018,
  4388.301,    2.4257,    3.1247,    0.7878,    0.9501,    0.0629,    0.0299,    2.1129,   71.2637,    6.9100,    1.0551,    3.9728,    0.0017,
  4388.401,    2.4205,    3.1206,    0.7846,    0.9477,    0.0628,    0.7314,    2.3186,   72.3152,    6.9154,    1.0409,    3.9697,    0.0017,
  4388.501,    2.4156,    3.1226,    0.7799,    0.9436,    0.0626,    0.8371,    2.6985,   74.4547,    6.9355,    0.9897,    3.9674,    0.0018,
