$STR WITHDRAWAL AT SEG64                                     ELEV OF WITHDRAWAL CENTERLINE:250.     

JDAY,     DOC,     TOC,     TKN,      TN,      TP,     APR,    CHLA,     %DO,      pH,     CO2,    HCO3,     CO3,
  4384.002,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   70.7407,    0.0000,    0.0000,    0.0000,    0.0000,
  4384.100,    2.7083,    3.5670,    0.8533,    0.9809,    0.0637,   -0.0078,    0.9868,   70.3449,    6.8700,    1.1654,    3.9714,    0.0015,
  4384.202,    2.7004,    3.5565,    0.8527,    0.9809,    0.0637,   -0.0077,    0.9727,   69.9051,    6.8600,    1.1892,    3.9599,    0.0015,
  4384.301,    2.6927,    3.5459,    0.8520,    0.9808,    0.0637,   -0.0076,    0.9591,   69.4881,    6.8600,    1.1911,    3.9660,    0.0015,
  4384.400,    2.6851,    3.5360,    0.8514,    0.9808,    0.0637,   -0.0075,    0.9468,   69.0651,    6.8600,    1.1939,    3.9751,    0.0015,
  4384.502,    2.6774,    3.5260,    0.8508,    0.9808,    0.0637,   -0.0074,    0.9335,   68.6218,    6.8500,    1.2179,    3.9626,    0.0015,
  4384.601,    2.6699,    3.5163,    0.8501,    0.9809,    0.0637,   -0.0072,    0.9208,   68.1893,    6.8500,    1.2201,    3.9700,    0.0015,
  4384.701,    2.6626,    3.5069,    0.8495,    0.9809,    0.0637,   -0.0061,    0.9081,   67.7530,    6.8498,    1.2238,    3.9799,    0.0015,
  4384.800,    2.6551,    3.4972,    0.8488,    0.9810,    0.0637,   -0.0071,    0.8952,   67.3148,    6.8400,    1.2477,    3.9673,    0.0014,
  4384.902,    2.6477,    3.4868,    0.8480,    0.9809,    0.0637,   -0.0070,    0.8854,   66.9544,    6.8400,    1.2498,    3.9738,    0.0014,
  4385.000,    2.6403,    3.4767,    0.8471,    0.9808,    0.0637,   -0.0069,    0.8733,   66.5502,    6.8300,    1.2744,    3.9595,    0.0014,
  4385.102,    2.6332,    3.4667,    0.8463,    0.9807,    0.0637,   -0.0068,    0.8620,   66.1588,    6.8300,    1.2760,    3.9644,    0.0014,
  4385.200,    2.6260,    3.4568,    0.8454,    0.9806,    0.0637,   -0.0067,    0.8507,   65.7656,    6.8300,    1.2790,    3.9735,    0.0014,
  4385.302,    2.6187,    3.4467,    0.8446,    0.9806,    0.0637,   -0.0066,    0.8392,   65.3686,    6.8300,    1.2810,    3.9793,    0.0014,
  4385.400,    2.6116,    3.4372,    0.8437,    0.9805,    0.0637,   -0.0066,    0.8288,   64.9676,    6.8200,    1.3061,    3.9649,    0.0014,
  4385.501,    2.6044,    3.4277,    0.8429,    0.9805,    0.0637,   -0.0065,    0.8181,   64.5458,    6.8200,    1.3091,    3.9741,    0.0014,
  4385.602,    2.5973,    3.4185,    0.8421,    0.9806,    0.0637,   -0.0064,    0.8073,   64.1282,    6.8200,    1.3117,    3.9821,    0.0014,
  4385.701,    2.5903,    3.4092,    0.8412,    0.9806,    0.0637,   -0.0063,    0.7969,   63.7193,    6.8100,    1.3364,    3.9645,    0.0013,
  4385.803,    2.5833,    3.3998,    0.8403,    0.9806,    0.0637,   -0.0062,    0.7869,   63.3076,    6.8100,    1.3394,    3.9737,    0.0013,
  4385.903,    2.5763,    3.3904,    0.8394,    0.9805,    0.0637,   -0.0062,    0.7792,   62.9309,    6.8100,    1.3412,    3.9792,    0.0013,
  4386.000,    2.5695,    3.3799,    0.8381,    0.9801,    0.0637,   -0.0062,    0.7855,   62.7309,    6.8080,    1.3471,    3.9781,    0.0013,
  4386.102,    2.5625,    3.3703,    0.8372,    0.9801,    0.0637,   -0.0061,    0.7703,   62.2955,    6.8000,    1.3679,    3.9661,    0.0013,
  4386.200,    2.5556,    3.3605,    0.8361,    0.9800,    0.0637,   -0.0060,    0.7601,   61.9529,    6.8000,    1.3698,    3.9714,    0.0013,
  4386.300,    2.5487,    3.3507,    0.8351,    0.9798,    0.0637,   -0.0051,    0.7496,   61.5993,    6.8000,    1.3725,    3.9791,    0.0013,
  4386.402,    2.5419,    3.3414,    0.8341,    0.9798,    0.0637,   -0.0059,    0.7399,   61.2202,    6.7900,    1.3981,    3.9610,    0.0013,
